LOCATION,SUBURB,Reason Code,Audit Date,Start_Lat,Start_Lng,End_Lat,End_Lng
Gillies Road,SULKY,BC,2024-08-01 00:00:00,-37.4590003,143.8377189,-37.4590003,143.8377189
Gillies Street,MARYBOROUGH,BCD,2024-10-01 00:00:00,-37.0504859,143.7480732,-37.0504859,143.7480732
Gisborne - Melton Road,KURUNJANG,BCD,2024-05-02 00:00:00,-37.6604222,144.6005336,-37.6604222,144.6005336
Gisborne Road,COIMADAI,ABCD,2024-08-01 00:00:00,-37.5942955,144.4634736,-37.6080088,144.467907
Gisborne Road,BACCHUS MARSH,C,2024-08-01 00:00:00,-37.6610244,144.4413685,-37.6080088,144.467907
Gisborne-Melton Road,TOOLERN VALE,ABC,2024-05-02 00:00:00,-37.6030054,144.5888543,-37.6030054,144.5888543
Gisborne-Melton Road,KURUNJANG,ABCD,2024-05-02 00:00:00,-37.6604222,144.6005336,-37.6604222,144.6005336
Gisborne-Melton Road,MELTON,BC,2024-05-02 00:00:00,-37.6568279,144.6013095,-37.6568279,144.6013095
Gisbourne Road,DARLEY,ABCD,2024-08-01 00:00:00,-37.6508555,144.4526055,-37.6508555,144.4526055
Gladesville Boulevard,PATTERSON LAKES,ACD,2024-03-01 00:00:00,-38.0704727,145.1456958,-38.0704727,145.1456958
Gladstone Road,DANDENONG NORTH,C,2024-08-01 00:00:00,-37.9551849,145.2075881,-37.9551849,145.2075881
Gladstone Street,MARYBOROUGH,C,2024-10-01 00:00:00,-37.040761,143.7297457,-37.040761,143.7297457
Glen Huntly Road,ELWOOD,BC,2024-06-01 00:00:00,-37.8827373,144.9873229,-37.8827373,144.9873229
Glen Iris Road,GLEN IRIS,ABCD,2024-07-01 00:00:00,-37.853658,145.067424,-37.853658,145.067424
Glen Katherine Drive,ST HELENA,B,2024-08-01 00:00:00,-37.6926698,145.133302,-37.6926698,145.133302
Glenbarry Road,CAMPBELLFIELD,BC,2024-08-01 00:00:00,-37.6634517,144.9589932,-37.6634517,144.9589932
Glencairn Drive,GREENVALE,BC,2024-08-01 00:00:00,-37.6476242,144.8897849,-37.6476242,144.8897849
Glenelg Highway,DUNKELD,ABC,2024-10-01 00:00:00,-37.6501361,142.3487453,-37.6501361,142.3487453
Glenelg Highway,WARRAYURE,AC,2024-10-01 00:00:00,-37.7108531,142.1742357,-37.7108531,142.1742357
Glenelg Highway,LAKE BOLAC,AC,2024-10-01 00:00:00,-37.7115515,142.8422265,-37.7115515,142.8422265
Glenelg Highway,WICKLIFFE,AC,2024-10-01 00:00:00,-37.6875211,142.7186301,-37.6875211,142.7186301
Glenelg Highway,SMYTHESDALE,BC,2024-08-01 00:00:00,-37.6499253,143.6763521,-37.6499253,143.6763521
Glenelg Highway,CARRANBALLAC,C,2024-01-01 00:00:00,-37.6998071,143.1791739,-37.6998071,143.1791739
Glenelg Highway,SKIPTON,C,2024-08-01 00:00:00,-37.686051,143.3343191,-37.686051,143.3343191
Glenelg Highway,SMYTHES CREEK,C,2024-08-01 00:00:00,-37.5995005,143.7650536,-37.5995005,143.7650536
Glenelg Highway,PITTONG,C,2024-08-01 00:00:00,-37.668577,143.4782986,-37.668577,143.4782986
Glenelg Highway,COLERAINE,C,2024-10-01 00:00:00,-37.5976015,141.6858308,-37.5976015,141.6858308
Glenelg Highway,GLENTHOMPSON,C,2024-10-01 00:00:00,-37.6357276,142.5218722,-37.6357276,142.5218722
Glenelg Highway,HAMILTON,C,2024-10-01 00:00:00,-37.7314468,142.0076716,-37.7314468,142.0076716
Glenelg Highway,WANNON,C,2024-10-01 00:00:00,-37.6650567,141.8335964,-37.6650567,141.8335964
Glenelg Highway,STREATHAM,C,2024-10-01 00:00:00,-37.6830847,143.0757764,-37.6830847,143.0757764
Glenelg Highway,WESTMERE,C,2024-10-01 00:00:00,-37.6884409,142.9722531,-37.6884409,142.9722531
Glenelg Highway,CASTERTON,C,T,-37.6029714,141.3569585,-37.6029714,141.3569585
Glenfern Road,UPWEY,ABC,2024-07-01 00:00:00,-37.917517,145.3214276,-37.917517,145.3214276
Glenferrie Road,HAWTHORN,ACD,2024-07-01 00:00:00,-37.8274015,145.0344618,-37.8274015,145.0344618
Glenferrie Road,MALVERN,C,2024-06-01 00:00:00,-37.8566205,145.029287,-37.8566205,145.029287
Glengala Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00,-37.788518,144.811098,-37.788518,144.811098
Glengarry West Road,GLENGARRY WEST,AC,2024-02-01 00:00:00,-38.1471627,146.5236481,-38.1471627,146.5236481
Glenrowan Myrtleford Road,MARKWOOD,C,2024-05-02 00:00:00,-36.4615378,146.2220944,-36.4615378,146.2220944
Glenrowan-Myrtleford Road,WHOROULY,ABC,2024-05-02 00:00:00,-36.5040581,146.5890329,-36.5040581,146.5890329
Glenrowan-Myrtleford Road,LACEBY,AC,2024-05-02 00:00:00,-36.4432173,146.3811841,-36.4432173,146.3811841
Glenroy Road,GLENROY,C,2024-08-01 00:00:00,-37.7061284,144.9271553,-37.7061284,144.9271553
Golf Course Road,HAVEN,C,2024-10-01 00:00:00,-36.7405239,142.1886542,-36.7405239,142.1886542
Golf Links Road,BARWON HEADS,ABCD,2024-08-01 00:00:00,-38.2805435,144.4873854,-38.2805435,144.4873854
Golf Links Road,NARRE WARREN,B,2024-04-01 00:00:00,-38.0440398,145.3184047,-38.0440398,145.3184047
Golf Links Road,FRANKSTON,C,2024-09-01 00:00:00,-38.1713788,145.1468297,-38.1713788,145.1468297
Goodwin Street,BENALLA,BC,2024-05-02 00:00:00,-36.5497462,145.9690845,-36.5497462,145.9690845
Gordon Street,WODONGA,BCD,2024-10-01 00:00:00,-36.133353,146.8832755,-36.133353,146.8832755
Gordons Road,SOUTH MORANG,ABCD,2024-08-01 00:00:00,-37.6362333,145.0843368,-37.6362333,145.0843368
Gorge Road,SOUTH MORANG,AC,2024-08-01 00:00:00,-37.6519384,145.0948298,-37.6517496,145.0930078
Goulburn Valley Freeway,MANGALORE,AC,2024-08-01 00:00:00,-36.925806,145.1435775,-36.925806,145.1435775
Goulburn Valley Freeway,NAGAMBIE,C,2024-08-01 00:00:00,-36.4997186,145.388362,-36.4997186,145.388362
Goulburn Valley Freeway,WAHRING,C,2024-08-01 00:00:00,-36.6886623,145.2250928,-36.6886623,145.2250928
Goulburn Valley Highway,STRATHMERTON,ABCD,2024-07-01 00:00:00,-35.9254876,145.4831293,-35.9254876,145.4831293
Goulburn Valley Highway,YIELIMA,ABCD,2024-07-01 00:00:00,-36.4997186,145.388362,-36.4997186,145.388362
Goulburn Valley Highway,BUNDALONG,ABCD,2024-07-01 00:00:00,-36.4997186,145.388362,-36.4997186,145.388362
Goulburn Valley Highway,COBRAM,ABCD,2024-07-01 00:00:00,-35.9043403,145.5773913,-35.9043403,145.5773913
